Date : 2024-04-24 22:27:06
Directory : /root/connect
Total : 76 files,  12178 codes, 264 comments, 1536 blanks, all 13978 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /root/connect/src/models/_entities/notes.rs                      | Rust             |         14 |          1 |          5 |         20 |
| /root/connect/src/models/_entities/prelude.rs                    | Rust             |          6 |          1 |          2 |          9 |
| /root/connect/src/models/_entities/routes.rs                     | Rust             |         37 |          1 |          5 |         43 |
| /root/connect/src/models/_entities/sements.rs                    | Rust             |         35 |          1 |          4 |         40 |
| /root/connect/src/models/_entities/users.rs                      | Rust             |         42 |          1 |          6 |         49 |
| /root/connect/src/models/authorized_users.rs                     | Rust             |         56 |          7 |         14 |         77 |
| /root/connect/src/models/devices.rs                              | Rust             |         41 |          6 |          8 |         55 |
| /root/connect/src/models/mod.rs                                  | Rust             |          7 |          0 |          1 |          8 |
| /root/connect/src/models/notes.rs                                | Rust             |          4 |          1 |          3 |          8 |
| /root/connect/src/models/routes.rs                               | Rust             |          4 |          1 |          2 |          7 |
| /root/connect/src/models/sements.rs                              | Rust             |          4 |          1 |          2 |          7 |
| /root/connect/src/models/users.rs                                | Rust             |        164 |         79 |         25 |        268 |
| /root/connect/src/tasks/mod.rs                                   | Rust             |          1 |          0 |          1 |          2 |
| /root/connect/src/tasks/seed.rs                                  | Rust             |         24 |         15 |          6 |         45 |
| /root/connect/src/views/auth.rs                                  | Rust             |         20 |          0 |          4 |         24 |
| /root/connect/src/views/mod.rs                                   | Rust             |          2 |          0 |          1 |          3 |
| /root/connect/src/views/user.rs                                  | Rust             |         18 |          0 |          4 |         22 |
| /root/connect/src/workers/downloader.rs                          | Rust             |         34 |          1 |          9 |         44 |
| /root/connect/src/workers/mod.rs                                 | Rust             |          2 |          0 |          1 |          3 |
| /root/connect/src/workers/qlog_parser.rs                         | Rust             |         49 |          3 |          9 |         61 |
| /root/connect/tests/mod.rs                                       | Rust             |          3 |          0 |          1 |          4 |
| /root/connect/tests/models/authorized_devices.rs                 | Rust             |         17 |          9 |          6 |         32 |
| /root/connect/tests/models/devices.rs                            | Rust             |         17 |          9 |          6 |         32 |
| /root/connect/tests/models/mod.rs                                | Rust             |          5 |          0 |          0 |          5 |
| /root/connect/tests/models/routes.rs                             | Rust             |         17 |          9 |          6 |         32 |
| /root/connect/tests/models/sements.rs                            | Rust             |         17 |          9 |          6 |         32 |
| /root/connect/tests/models/users.rs                              | Rust             |        176 |          0 |         48 |        224 |
| /root/connect/tests/requests/auth.rs                             | Rust             |        155 |          7 |         31 |        193 |
| /root/connect/tests/requests/connectdata.rs                      | Rust             |         26 |          0 |          4 |         30 |
| /root/connect/tests/requests/connectincomming.rs                 | Rust             |         26 |          0 |          4 |         30 |
| /root/connect/tests/requests/mod.rs                              | Rust             |          7 |          0 |          1 |          8 |
| /root/connect/tests/requests/notes.rs                            | Rust             |        103 |          2 |         19 |        124 |
| /root/connect/tests/requests/prepare_data.rs                     | Rust             |         45 |          1 |         12 |         58 |
| /root/connect/tests/requests/user.rs                             | Rust             |         32 |          2 |          7 |         41 |
| /root/connect/tests/requests/v1.rs                               | Rust             |         26 |          0 |          4 |         30 |
| /root/connect/tests/tasks/mod.rs                                 | Rust             |          1 |          0 |          1 |          2 |
| /root/connect/tests/tasks/seed.rs                                | Rust             |         24 |         15 |          4 |         43 |
| /root/connect/tests/workers/qlog_parser.rs                       | Rust             |         16 |          2 |          5 |         23 |
| Total                                                            |                  |     12,178 |        264 |      1,536 |     13,978 |
+------------------------------------------------------------------+------------------+------------+------------+------------+------------+
